"Date","Victoria.St.West","Archibald.Park","Beach.Rd","Carlton.Gore.Rd","Curran.St","Dominion.Rd","East.Coast.Rd","Franklin.Rd","GI.TO.TAMAKI.DR.SECTION.1","Grafton.Bridge","Grafton.Gully","Grafton.Rd","Great.South.Rd","Highbrook","Hopetoun.St","Karangahape.Rd","Lagoon.Dr","Lake.Rd","Lake.Rd.New","Leigh.Rd.Shared.Path","Lightpath","Mangere.Bridge","Mangere.Safe.Routes","Nelson.St","NW.Cycleway.Kingsland","NW.Cycleway.TeAtatu","Oceanview.Rd","Orewa.Path","Ormiston.Rd","Quay.St.Spark.Arena","Quay.St.Eco.Display.Classic","Queen.St.Pukekohe","Rankin.Ave","Saint.Lukes.Rd","SH20A.Shared.Path","SW.Shared.Path","Symonds.St","Tamaki.Dr","TeAtatu.Peninsula","TeWero.Bridge.Bike","Twin.Streams","Upper.Harbour","Upper.Queen.St","Waterview.Unitec"
"Thursday,  6 June 2019",124,7,294,291,192,396,91,NA,29,637,424,103,73,24,152,459,345,16,339,11,647,224,24,753,1058,589,70,223,32,829,779,14,33,193,35,142,368,1022,166,462,73,84,271,180
"Friday,  7 June 2019",105,2,195,183,113,247,47,NA,19,460,307,93,47,21,151,330,194,18,216,3,453,127,18,579,725,328,57,140,37,601,586,6,18,185,18,80,252,730,116,361,31,35,200,99
"Saturday,  8 June 2019",40,5,73,75,89,86,62,NA,14,147,70,33,47,7,50,164,121,10,173,3,68,189,16,96,151,118,40,81,38,195,135,5,18,61,11,91,106,357,32,160,54,59,97,53
"Sunday,  9 June 2019",97,26,271,74,418,188,147,NA,57,250,394,49,108,50,37,322,394,12,445,28,415,689,12,345,697,1076,83,799,72,983,793,13,35,162,66,309,174,1453,152,813,192,424,111,457
"Monday, 10 June 2019",140,2,387,316,212,441,111,NA,78,679,557,93,84,32,220,526,367,21,385,8,816,307,24,933,1372,728,90,250,30,1072,1057,9,42,253,41,185,395,1248,232,546,102,76,289,242
"Tuesday, 11 June 2019",144,3,426,367,275,483,145,NA,53,792,591,108,90,35,203,633,476,25,449,15,893,359,31,1049,1452,890,102,402,35,1193,1166,8,45,269,33,252,446,1442,253,617,97,144,314,250
"Wednesday, 12 June 2019",130,0,325,340,212,393,111,NA,34,693,479,88,86,32,182,547,332,19,403,4,742,246,25,862,1229,628,79,291,29,921,884,6,35,243,26,166,376,1148,176,526,71,103,251,184
"Thursday, 13 June 2019",127,5,329,340,250,433,126,NA,58,626,523,111,110,43,187,488,339,28,348,9,802,299,25,895,1243,630,92,247,36,1038,946,9,45,236,32,200,376,1258,198,541,48,89,270,214
"Friday, 14 June 2019",143,12,256,263,270,358,119,NA,35,620,474,97,67,26,170,451,336,26,596,6,630,242,25,795,1076,616,84,299,33,931,875,7,38,226,32,181,354,1244,181,573,102,77,285,204
"Saturday, 15 June 2019",66,8,22,108,234,151,82,NA,26,252,287,75,71,15,67,260,306,14,280,43,248,566,24,220,440,620,85,360,45,545,371,12,27,125,46,184,157,876,105,388,114,242,136,180
"Sunday, 16 June 2019",103,19,187,87,324,149,126,NA,47,192,304,29,71,25,51,233,383,16,346,57,361,504,14,286,556,854,114,642,46,787,607,12,39,134,25,206,127,1099,174,619,202,348,98,308
"Monday, 17 June 2019",141,7,330,322,182,438,97,NA,25,617,514,91,75,37,176,473,290,18,366,19,778,237,16,942,1252,656,70,228,26,940,963,15,25,236,39,172,380,1098,217,451,52,64,264,171
"Tuesday, 18 June 2019",144,7,346,358,234,450,125,NA,47,729,553,84,86,36,200,531,465,22,448,10,852,321,43,994,1366,793,104,258,22,1061,1021,10,41,256,50,218,436,1382,236,604,102,122,310,206
"Wednesday, 19 June 2019",131,6,320,345,234,398,117,NA,38,712,535,96,91,36,195,528,445,17,424,1,754,318,33,913,1291,744,75,290,27,1096,1040,18,27,235,39,242,386,1433,233,611,112,111,290,233
"Thursday, 20 June 2019",141,1,325,308,218,349,106,NA,53,615,431,101,78,36,159,435,298,20,342,4,654,239,41,763,1055,519,79,194,32,809,764,11,43,230,26,131,333,1080,165,484,51,71,237,136
"Friday, 21 June 2019",103,1,239,232,146,284,76,NA,25,469,349,77,66,21,142,345,212,13,254,1,584,169,24,698,910,475,73,140,32,672,653,6,27,194,15,121,274,801,161,416,59,48,206,154
"Saturday, 22 June 2019",72,8,96,117,218,128,127,NA,25,270,240,51,72,12,66,265,279,22,327,36,258,484,31,212,499,579,88,297,49,698,472,12,24,110,29,235,159,983,63,394,132,279,106,223
"Sunday, 23 June 2019",45,6,97,58,155,71,67,NA,44,142,116,31,53,25,48,179,200,4,184,24,141,173,17,131,258,275,57,328,33,332,293,10,19,64,10,110,86,558,93,328,145,124,75,146
"Monday, 24 June 2019",127,5,319,325,243,422,100,NA,30,650,507,105,63,31,164,556,292,21,360,8,781,266,30,935,1293,725,100,270,30,960,952,7,35,232,32,197,398,1133,212,568,89,97,270,227
"Tuesday, 25 June 2019",118,0,310,348,247,436,126,NA,27,722,505,108,102,35,155,552,425,22,394,6,806,317,35,944,1322,793,81,295,36,1110,1102,8,27,244,36,249,409,1362,236,562,79,152,266,208
"Wednesday, 26 June 2019",139,3,326,332,268,422,122,NA,31,669,555,98,84,35,177,567,372,24,418,8,795,304,26,925,1241,721,98,318,37,1123,1063,8,27,254,38,249,418,1263,241,601,71,98,307,223
"Thursday, 27 June 2019",127,7,304,329,292,428,111,NA,40,611,511,86,99,36,186,543,321,25,374,7,657,318,38,791,1230,661,79,274,34,1014,956,16,25,218,33,193,395,1231,163,576,87,113,228,192
