"Date","Archibald.Park","Beach.Rd","Carlton.Gore.Rd","Curran.St","Dominion.Rd","East.Coast.Rd","Franklin.Rd","GI.TO.TAMAKI.DR.SECTION.1","Grafton.Bridge","Grafton.Gully","Grafton.Rd","Great.South.Rd","Highbrook","Hopetoun.St","Karangahape.Rd","Lagoon.Dr","Lake.Rd","Lake.Rd.New","Leigh.Rd.Shared.Path","Lightpath","Mangere.Bridge","Mangere.Safe.Routes","Nelson.St","NW.Cycleway.Kingsland","NW.Cycleway.TeAtatu","Oceanview.Rd","Orewa.Path","Ormiston.Rd","Quay.St.Spark.Arena","Quay.St.Eco.Display.Classic","Queen.St.Pukekohe","Rankin.Ave","Saint.Lukes.Rd","SH20A.Shared.Path","SW.Shared.Path","Symonds.St","Tamaki.Dr","TeAtatu.Peninsula","TeWero.Bridge.Bike","Twin.Streams","Upper.Harbour","Upper.Queen.St","Waterview.Unitec","Westhaven.Dr","Victoria.St.West"
"Thu 10 Sep 2020",10,270,403,236,354,148,234,36,655,419,156,87,25,159,192,277,16,490,30,537,265,25,609,1100,694,117,277,51,836,896,11,27,252,27,217,301,NA,112,412,90,91,226,314,490,NA
"Fri 11 Sep 2020",30,245,312,210,323,139,208,34,624,339,154,75,37,152,227,274,22,494,32,476,285,17,579,887,620,139,282,55,795,846,10,25,215,16,187,257,NA,100,450,144,103,211,320,506,NA
"Sat 12 Sep 2020",36,257,176,520,188,214,129,107,447,446,93,70,52,36,185,500,6,529,123,343,816,32,360,1006,1422,141,612,71,1062,969,24,46,238,67,392,230,NA,128,762,359,475,140,706,765,NA
"Sun 13 Sep 2020",21,216,148,370,139,179,95,95,353,313,81,66,21,40,126,335,10,501,64,313,559,20,253,754,1070,89,573,51,765,702,8,15,210,37,320,155,NA,113,567,309,504,94,646,734,NA
"Mon 14 Sep 2020",22,277,329,169,386,115,216,39,651,375,166,79,38,148,197,294,11,406,16,543,281,28,644,1075,624,81,289,48,778,763,10,13,230,27,172,278,NA,89,335,96,59,249,337,556,NA
"Tue 15 Sep 2020",17,245,330,211,315,111,204,38,627,310,158,58,28,140,215,264,9,405,15,528,184,27,591,963,492,105,199,42,676,730,10,17,205,20,150,236,NA,88,317,69,96,211,341,555,NA
"Wed 16 Sep 2020",19,316,387,262,397,121,228,55,755,392,180,74,60,169,203,303,22,419,11,576,283,33,651,1186,791,145,297,68,834,864,11,31,295,26,188,304,NA,127,426,151,105,258,357,695,NA
"Thu 17 Sep 2020",16,362,384,255,403,151,214,68,724,463,165,96,39,176,189,334,17,547,30,563,320,25,692,1227,814,128,287,63,944,995,8,28,298,39,226,280,NA,127,526,112,157,279,405,710,NA
"Fri 18 Sep 2020",26,202,252,151,278,86,201,26,498,283,146,64,27,132,186,262,13,333,11,370,227,19,475,710,427,99,153,39,553,601,7,15,175,19,128,217,NA,74,327,45,62,180,241,506,NA
"Sat 19 Sep 2020",12,200,147,355,148,189,85,42,336,264,81,73,27,52,233,297,4,395,58,280,519,22,264,651,791,153,338,38,642,626,21,32,179,33,207,178,NA,89,581,89,301,82,365,638,NA
"Sun 20 Sep 2020",79,266,179,578,211,171,127,93,363,407,126,61,65,44,163,353,11,555,74,354,733,19,347,993,1400,105,700,63,1012,932,13,33,298,34,420,175,NA,121,972,430,461,153,740,891,NA
"Mon 21 Sep 2020",33,374,375,311,425,126,232,52,765,472,173,92,50,184,173,392,22,466,10,653,337,17,775,1398,880,124,377,31,1052,1180,12,23,337,38,215,356,NA,152,631,139,117,310,453,447,NA
"Tue 22 Sep 2020",32,404,473,333,467,158,280,61,899,583,227,91,51,185,195,408,28,568,24,731,386,21,943,1564,1112,128,362,38,1180,1366,8,28,306,40,284,411,NA,152,696,141,197,322,540,876,NA
"Wed 23 Sep 2020",27,401,444,320,427,152,261,60,879,455,202,87,50,170,180,428,32,582,13,638,340,40,800,1455,955,135,349,29,1032,1250,7,35,291,36,220,367,NA,126,590,61,171,344,416,777,NA
"Thu 24 Sep 2020",9,286,350,202,358,94,264,27,722,355,152,81,26,152,188,282,22,423,10,520,233,17,628,1002,523,93,233,28,721,903,8,25,204,20,206,285,NA,103,503,33,78,235,249,549,NA
"Fri 25 Sep 2020",10,340,361,353,361,114,233,57,710,460,172,90,57,143,202,367,22,552,22,520,355,20,650,1117,786,144,318,24,931,1064,5,29,234,26,235,303,NA,119,786,126,142,256,433,679,NA
"Sat 26 Sep 2020",93,261,200,559,212,193,128,65,414,413,110,75,38,69,216,399,25,532,90,398,727,35,371,1034,1347,109,443,23,941,868,16,31,247,44,411,193,NA,119,924,257,453,143,622,974,NA
"Sun 27 Sep 2020",18,65,58,87,97,30,60,16,122,85,59,53,10,48,149,99,6,150,13,85,108,6,94,208,232,48,105,5,210,228,1,23,60,4,438,75,NA,23,193,72,41,38,228,356,NA
"Mon 28 Sep 2020",30,272,318,179,337,79,191,34,588,330,148,66,29,140,189,230,10,247,15,432,158,15,559,832,466,84,190,25,619,702,12,35,192,20,195,253,NA,65,434,133,56,204,326,619,NA
"Tue 29 Sep 2020",12,235,278,128,257,65,175,14,525,268,156,60,23,123,220,178,4,204,5,374,107,30,494,681,342,64,80,12,468,620,11,14,164,33,237,178,NA,55,296,81,27,182,240,561,NA
"Wed 30 Sep 2020",43,349,381,233,363,96,209,40,729,455,162,54,28,149,193,368,15,390,30,551,282,38,656,1157,720,109,260,28,786,903,17,13,232,27,220,212,NA,93,526,127,129,245,374,697,NA
"Wed  1 Jul 2020",9,383,389,282,443,125,242,75,788,495,174,81,36,191,257,321,21,525,19,684,425,25,781,1336,875,127,285,60,1015,1298,8,28,292,35,225,355,NA,112,515,80,126,259,395,NA,NA
"Thu  2 Jul 2020",5,350,401,252,413,98,230,45,701,489,192,67,21,170,239,275,19,409,10,569,282,23,697,1134,620,100,216,35,881,1197,9,36,249,28,191,338,NA,100,473,72,78,273,378,NA,NA
"Fri  3 Jul 2020",5,356,295,275,383,92,225,38,654,447,143,89,27,143,222,281,17,475,17,500,343,34,607,999,610,110,221,49,909,1242,9,29,225,43,170,301,NA,97,501,80,99,233,331,NA,NA
"Sat  4 Jul 2020",12,219,152,294,179,186,103,75,385,320,75,49,19,61,144,289,13,405,34,271,737,30,267,634,886,102,293,65,601,781,12,26,150,25,262,179,NA,81,526,148,316,108,385,NA,NA
"Sun  5 Jul 2020",7,137,70,221,111,99,55,38,240,203,60,76,19,44,106,187,3,294,30,176,417,12,161,434,619,64,229,36,440,422,24,17,135,37,217,95,NA,52,319,107,208,86,391,NA,NA
"Mon  6 Jul 2020",8,198,215,86,267,63,145,16,416,280,121,47,18,121,132,215,0,141,10,386,140,12,444,665,303,79,52,30,529,1076,10,20,121,10,80,174,NA,46,205,16,24,168,159,NA,NA
"Tue  7 Jul 2020",3,199,284,120,274,76,137,12,490,334,128,51,26,120,131,172,6,189,12,431,122,17,491,731,332,72,76,34,595,1187,6,14,150,11,79,206,NA,66,272,37,37,161,185,NA,NA
"Wed  8 Jul 2020",3,138,176,72,204,50,106,22,363,201,105,55,8,102,143,261,11,90,1,306,81,11,388,464,161,66,18,44,344,1146,1,10,106,9,50,148,NA,39,168,30,11,122,103,NA,NA
"Thu  9 Jul 2020",11,235,302,163,325,74,161,27,546,357,124,64,19,146,157,233,2,184,17,432,191,8,540,758,393,75,133,40,590,920,3,27,163,29,152,238,NA,53,376,66,42,218,264,NA,NA
"Fri 10 Jul 2020",20,253,268,249,312,85,155,43,520,355,112,70,38,140,172,289,8,310,34,445,255,20,534,837,557,112,259,25,767,1048,9,23,182,20,162,218,NA,74,501,89,110,187,350,NA,NA
"Sat 11 Jul 2020",4,156,122,243,114,134,81,39,270,248,54,60,14,66,138,237,12,316,89,179,481,34,182,539,740,78,350,48,530,674,13,21,107,45,196,123,NA,54,397,77,320,107,379,NA,NA
"Sun 12 Jul 2020",16,203,106,334,139,127,65,80,276,282,68,58,18,49,146,327,10,376,90,310,480,12,274,648,846,104,497,23,728,517,11,14,159,27,248,138,NA,59,635,174,351,77,447,NA,NA
